de,el,en,it,ru,vi,zh
ich,εγώ ,I,io,я ,tôi,我
du,εσύ ,you,tu,ты ,tôi,你
er,αυτός ,he,lui,он ,anh ấy,他
wir,εμείς ,we,noi,мы ,chúng ta,我们
ihr,εσείς ,you,voi,вы ,các bạn,你们
sie,αυτοί ,they,loro,они,họ,他们
dies,αυτό ,this,questo,это,này,这
das,εκείνο ,that,quello,то ,đó,那
hier,εδώ ,here,qui,здесь ,đây,这里
da,εκεί ,there,là,там ,ở đó,那里
wer,ποιος ,who,chi,кто ,ai,谁
was,τι ,what,che,что ,gì,什么
wo,πού ,where,dove,где ,ở đâu,哪里
wann,πότε ,when,quando,когда ,khi nào,什么时候
wie,πώς ,how,come,как ,sao,如何
nicht,δε,not,non,не ,không,不
alle,όλοι ,all,tutto,всё ,tất cả,全部
viele,πολλοί ,many,molti,многие ,nhiều,多
einige,μερικοί ,some,alcuni,несколько ,mấy,一些
wenig,λίγοι ,few,poco,немногие ,ít,少
andere,άλλοι ,other,altro,другой,khác,其他
eins,ένα ,one,un,один ,một,一
zwei,δύο ,two,due,два ,hai,二
drei,τρία ,three,tre,три ,ba,三
vier,τέσσερα ,four,quattro,четыре,bốn,四
fünf,πέντε ,five,cinque,пять ,năm,五
gross,μεγάλος ,big,grande,большой ,lớn,大
lang,μακρύς ,long,lungo,длинный ,dài,长
breit,πλατύς ,wide,largo,широкий ,rộng,宽
dick,παχύς ,thick,spesso,толстый ,dày,厚
schwer,βαρύς ,heavy,pesante,тяжёлый ,nặng,重
klein,μικρός ,small,piccolo,маленький ,nhỏ,小
kurz,κοντός ,short,corto,короткий ,ngắn,短
eng,στενός ,narrow,stretto,узкий ,chật,窄
dünn,λεπτός ,thin,sottile,тонкий ,mỏng,薄
Frau,γυναίκα ,woman,donna,женщина ,đàn bà,女人
Mann,άνδρας ,man,uomo,мужчина ,đàn ông,男人
Mensch,άνθρωπος ,man,uomo,человек ,người,人
Kind,παιδί ,child,bambino,ребёнок ,con,孩子
Frau,σύζυγος ,wife,moglie,жена ,vợ,妻子
Mann,σύζυγος ,husband,marito,муж ,chồng,丈夫
Mutter,μητέρα ,mother,madre,мать ,mẹ,母亲
Vater,πατέρας ,father,padre,отец ,cha,父亲
Tier,ζώο ,animal,animale,зверь ,thú,动物
Fisch,ψάρι ,fish,pesce,рыба ,cá,鱼
Vogel,πουλί ,bird,uccello,птица ,chim,鸟
Hund,σκύλος ,dog,cane,собака ,chó,狗
Laus,ψείρα ,louse,pidocchio,вошь ,rận,虱
Schlange,φίδι ,snake,serpente,змея ,rắn,蛇
Wurm,σκουλήκι ,worm,verme,червь ,giun,虫
Baum,δέντρο ,tree,albero,дерево ,cây,树
Wald,δάσος ,forest,selva,лес ,rừng,森林
Stock,ραβδί ,stick,bastone,палка ,gậy,树枝
Frucht,φρούτο ,fruit,frutta,плод ,quả,水果
Samen,σπόρος ,seed,seme,семя ,hạt,种子
Blatt,φύλλο ,leaf,foglia,лист ,lá,叶
Wurzel,ρίζα ,root,radice,корень ,rễ,根
Rinde,φλοιός ,bark,corteccia,кора ,vỏ,树皮
Blume,λουλούδι ,flower,fiore,цветок ,hoa,花
Gras,χορτάρι ,grass,erba,трава,cỏ,草
Seil,σχοινί ,rope,corda,верёвка ,dây,绳
Haut,δέρμα ,skin,pelle,кожа,da,皮
Fleisch,κρέας ,meat,carne,мясо,thịt,肉
Blut,αίμα ,blood,sangue,кровь ,máu,血
Knochen,κόκαλο ,bone,osso,кость ,xương,骨
Fett,λίπος ,fat,grasso,жир ,mỡ,脂肪
Ei,αυγό ,egg,uovo,яйцо,trứng,蛋
Horn,κέρατο ,horn,corno,рог ,sừng,角
Schwanz,ουρά ,tail,coda,хвост ,đuôi,尾
Feder,πούπουλο ,feather,piuma,перо,lông,羽毛
Haar,τρίχα ,hair,capelli,волос ,tóc,头发
Kopf,κεφάλι ,head,testa,голова,đầu,头
Ohr,αυτί ,ear,orecchio,ухо,tai,耳朵
Auge,μάτι ,eye,occhio,глаз ,mắt,眼睛
Nase,μύτη ,nose,naso,нос ,mũi,鼻
Mund,στόμα ,mouth,bocca,рот ,miệng,嘴
Zahn,δόντι ,tooth,dente,зуб ,răng,牙齿
Zunge,γλώσσα ,tongue,lingua,язык,lưỡi,舌
Fingernagel,νύχι ,fingernail,unghia,ноготь,móng,指甲
Fuss,πόδι ,foot,piede,стопа,bàn chân,脚
Bein,πόδι ,leg,gamba,нога,chân,腿
Knie,γόνατο ,knee,ginocchio,колено,đầu gối,膝
Hand,χέρι ,hand,mano,рука,bàn tay,手
Flügel,φτερό ,wing,ala,крыло,cánh,翼
Bauch,κοιλιά ,belly,pancia,живот ,bụng,肚子
Eingeweide,σπλάχνα ,guts,intestino,кишки,lòng,肠子
Hals,λαιμός ,neck,collo,шея,cổ,脖子
Rücken,πλάτη ,back,schiena,спина,lưng,背
Brust,στήθος ,breast,petto,грудь ,vú,胸
Herz,καρδιά ,heart,cuore,сердце ,tim,心脏
Leber,συκώτι ,liver,fegato,печень ,gan,肝
trinken,πίνω ,drink,bere,пить ,uống,喝
essen,τρώω,eat,mangiare,есть ,ăn,吃
beissen,δαγκώνω ,bite,mordere,кусать ,cắn,咬
saugen,ρουφώ ,suck,succhiare,сосать ,mút,吸
spucken,φτύνω ,spit,sputare,плевать ,nhổ,吐
erbrechen,ξερνώ ,vomit,vomitare,рвать ,nôn,呕
blasen,φυσάω ,blow,soffiare,дуть ,thổi,吹
atmen,αναπνέω ,breathe,respirare,дышать ,hô hấp,呼吸
lachen,γελάω ,laugh,ridere,смеяться ,cười,笑
sehen,βλέπω ,see,vedere,видеть ,thấy,看
hören,ακούω ,hear,udire,слышать ,nghe,听
wissen,ξέρω ,know,sapere,знать ,biết,知道
denken,σκέφτομαι ,think,pensare,думать ,nghĩ,想
riechen,μυρίζω ,smell,odorare,нюхать ,ngửi,嗅
fürchten,φοβάμαι ,fear,temere,бояться ,sợ,怕
schlafen,κοιμάμαι ,sleep,dormire,спать ,ngủ,睡
leben,ζω ,live,vivere,жить ,sống,活
sterben,πεθαίνω ,die,morire,умирать ,chết,死
töten,σκοτώνω ,kill,uccidere,убивать ,giết,杀
kämpfen,μαλώνω ,fight,combattere,бороться ,đánh,吵架
jagen,κυνηγώ ,hunt,cacciare,охотиться ,săn,打猎
schlagen,χτυπώ ,hit,colpire,ударять ,đánh,打
schneiden,κόβω ,cut,tagliare,резать ,cắt,割
spalten,χωρίζω ,split,fendere,разделять ,chẻ,劈开
stechen,μαχαιρώνω ,stab,pugnalare,колоть ,đâm,刺
kratzen,ξύνω ,scratch,graffiare,царапать ,gãi,搔
graben,σκάβω ,dig,scavare,копать ,đào,挖
schwimmen,κολυμπώ ,swim,nuotare,плавать ,bơi,游泳
fliegen,πετάω ,fly,volare,летать ,bay,飞
gehen,περπατώ ,walk,camminare,ходить ,đi,走
kommen,έρχομαι ,come,venire,приходить ,đến,来
liegen,ξαπλώνω ,lie,giacere,лежать ,nằm,躺
sitzen,κάθομαι ,sit,sedere,сидеть ,ngồi,坐
stehen,στέκομαι ,stand,alzarsi,стоять ,dậy,站
drehen,γυρίζω ,turn,girare,вращать ,quay,转
fallen,πέφτω ,fall,cadere,падать ,ngã,落下
geben,δίνω ,give,dare,давать ,cho,给
halten,κρατάω ,hold,tenere,держать ,cầm,握
quetschen,ζουλάω ,squeeze,spremere,сжимать ,vắt,挤
reiben,τρίβω ,rub,strofinare,тереть ,cọ,揉
waschen,πλένω ,wash,lavare,мыть ,giặt,洗
wischen,σκουπίζω ,wipe,asciugare,вытирать ,lau,擦
ziehen,τραβώ ,pull,tirare,тянуть ,kéo,拉
drücken,σπρώχνω ,push,spingere,толкать ,đẩy,推
werfen,ρίχνω ,throw,lanciare,бросать ,ném,扔
binden,δένω ,tie,legare,вязать ,trói,绑
nähen,ράβω ,sew,cucire,шить ,khâu,缝
zählen,μετράω ,count,contare,считать ,đếm,数
sagen,λέω ,say,dire,говорить ,nói,说
singen,τραγουδώ ,sing,cantare,петь ,hát,唱
spielen,παίζω ,play,giocare,играть ,chơi,玩
schweben,πλέω ,float,galleggiare,плавать ,nổi,浮
fliessen,τρέχω ,flow,fluire,течь ,chảy,流
frieren,παγώνω ,freeze,gelare,замерзать ,đông lại,结冰
schwellen,φουσκώνω ,swell,gonfiarsi,пухнуть ,sưng lên,膨胀
Sonne,ήλιος ,sun,sole,солнце ,mặt trời,太阳
Mond,φεγγάρι ,moon,luna,луна ,trăng,月亮
Stern,αστέρι ,star,stella,звезда ,sao,星
Wasser,νερό ,water,acqua,вода,nước,水
Regen,βροχή ,rain,pioggia,дождь ,mưa,雨
Fluss,ποτάμι ,river,fiume,река,sông,河
See,λίμνη ,lake,lago,озеро ,hồ,湖
Meer,θάλασσα ,sea,mare,море ,biển,海
Salz,αλάτι ,salt,sale,соль ,muối,盐
Stein,πέτρα ,stone,pietra,камень ,đá,石头
Sand,άμμος ,sand,sabbia,песок ,cát,沙
Staub,σκόνη ,dust,polvere,пыль ,bụi,尘土
Erde,γη ,earth,suolo,земля,đất,地球
Wolke,σύννεφο ,cloud,nuvola,облако ,mây,云
Nebel,ομίχλη ,fog,nebbia,туман ,sương mù,雾
Himmel,ουρανός ,sky,cielo,небо ,trời,天
Wind,αέρας ,wind,vento,ветер ,gió,风
Schnee,χιόνι ,snow,neve,снег ,tuyết,雪
Eis,πάγος ,ice,ghiaccio,лёд ,nước đá,冰
Rauch,καπνός ,smoke,fumo,дым ,khói,烟
Feuer,φωτιά ,fire,fuoco,огонь ,lửa,火
Asche,στάχτη ,ash,ceneri,зола,tro,灰
brennen,καίω ,burn,bruciare,жечь ,cháy,烧
Strasse,δρόμος ,road,strada,дорога ,đường,路
Berg,βουνό ,mountain,montagna,гора,núi,山
rot,κόκκινος ,red,rosso,красный,đỏ,红
grün,πράσινος ,green,verde,зелёный,xanh,绿
gelb,κίτρινος ,yellow,giallo,жёлтый,vàng,黄
weiss,άσπρος ,white,bianco,белый,trắng,白
schwarz,μαύρος ,black,nero,чёрный,đen,黑
Nacht,νύχτα ,night,notte,ночь ,đêm,夜晚
Tag,μέρα ,day,giorno,день ,ngày,白天
Jahr,χρόνος ,year,anno,год ,năm,年
warm,ζεστός ,warm,caldo,тёплый,ấm,温暖
kalt,κρύος ,cold,freddo,холодный ,lạnh,冷
voll,γεμάτος ,full,pieno,полный,đầy,满
neu,καινούργιος ,new,nuovo,новый,mới,新
alt,παλιός ,old,vecchio,старый,cổ,老
gut,καλός ,good,buono,хороший ,tốt,好
schlecht,κακός ,bad,cattivo,плохой ,xấu,坏
faul,σάπιος ,rotten,marcio,гнилой ,thối,烂
schmutzig,βρόμικος ,dirty,sporco,грязный ,bẩn,脏
gerade,ίσιος ,straight,dritto,прямой ,thẳng,直
rund,στρογγυλός ,round,rotondo,круглый ,tròn,圆
scharf,κοφτερός ,sharp,aguzzo,острый ,sắc,锋利
stumpf,στομωμένος ,dull,smussato,тупой ,mòn,钝
glatt,λείος ,smooth,liscio,гладкий ,mịn,光滑
nass,βρεγμένος ,wet,bagnato,мокрый ,ướt,湿
trocken,στεγνός ,dry,asciutto,сухой ,khô,干
richtig,σωστός ,correct,corretto,правильный ,đúng,对
nah,κοντά ,near,vicino,близкий ,gần,近
weit,μακριά ,far,lontano,далёкий ,xa,远
rechts,δεξιά ,right,destra,правый ,phải,右
links,αριστερά ,left,sinistra,левый ,trái,左
bei,σε ,at,a,при ,ở,在
in,μέσα ,in,in,в ,trong,在...里
mit,με ,with,con,с ,với,和
und,και ,and,e,и ,và,和
wenn,εάν ,if,se,если ,nếu,如果
weil,επειδή ,because,perché,потому что ,vì,因为
Name,όνομα ,name,nome,имя ,tên,名字
